Orden: 1, earlang index: 0, earlang: 1000, BBP: 0, general blocking: 0
Orden: 1, earlang index: 1, earlang: 1500, BBP: 0, general blocking: 0
Orden: 1, earlang index: 2, earlang: 2000, BBP: 0.000172346, general blocking: 5.49999e-05
Orden: 1, earlang index: 3, earlang: 2500, BBP: 0.0040987, general blocking: 0.001308
Orden: 1, earlang index: 4, earlang: 3000, BBP: 0.0158139, general blocking: 0.00504899
Orden: 1, earlang index: 5, earlang: 3500, BBP: 0.0357937, general blocking: 0.011481
Orden: 1, earlang index: 6, earlang: 4000, BBP: 0.0629846, general blocking: 0.020297
Orden: 1, earlang index: 7, earlang: 4500, BBP: 0.0884814, general blocking: 0.028758
Orden: 1, earlang index: 8, earlang: 5000, BBP: 0.117491, general blocking: 0.03875
Orden: 1, earlang index: 9, earlang: 5500, BBP: 0.144813, general blocking: 0.048468
Orden: 1, earlang index: 10, earlang: 6000, BBP: 0.168724, general blocking: 0.0573929
Orden: 1, earlang index: 11, earlang: 6500, BBP: 0.193884, general blocking: 0.0671769
Orden: 1, earlang index: 12, earlang: 7000, BBP: 0.217015, general blocking: 0.0763489
Orden: 1, earlang index: 13, earlang: 7500, BBP: 0.236612, general blocking: 0.0843939
Orden: 1, earlang index: 14, earlang: 8000, BBP: 0.25507, general blocking: 0.0921119

good bbp:

Orden: 1, earlang index: 0, earlang: 1000, BBP: 0, general blocking: 0
Orden: 1, earlang index: 1, earlang: 1500, BBP: 0, general blocking: 0
Orden: 1, earlang index: 2, earlang: 2000, BBP: 0.000172346, general blocking: 5.49999e-05
Orden: 1, earlang index: 3, earlang: 2500, BBP: 0.0040987, general blocking: 0.001308
Orden: 1, earlang index: 4, earlang: 3000, BBP: 0.0158139, general blocking: 0.00504899
Orden: 1, earlang index: 5, earlang: 3500, BBP: 0.0357937, general blocking: 0.011481
Orden: 1, earlang index: 6, earlang: 4000, BBP: 0.0629846, general blocking: 0.020297
Orden: 1, earlang index: 7, earlang: 4500, BBP: 0.0884814, general blocking: 0.028758
Orden: 1, earlang index: 8, earlang: 5000, BBP: 0.117491, general blocking: 0.03875
Orden: 1, earlang index: 9, earlang: 5500, BBP: 0.144813, general blocking: 0.048468
Orden: 1, earlang index: 10, earlang: 6000, BBP: 0.168724, general blocking: 0.0573929
Orden: 1, earlang index: 11, earlang: 6500, BBP: 0.193884, general blocking: 0.0671769
Orden: 1, earlang index: 12, earlang: 7000, BBP: 0.217015, general blocking: 0.0763489
Orden: 1, earlang index: 13, earlang: 7500, BBP: 0.236612, general blocking: 0.0843939
Orden: 1, earlang index: 14, earlang: 8000, BBP: 0.25507, general blocking: 0.0921119

Orden: 1, earlang index: 0, earlang: 1000, BBP: 0, general blocking: 0
Orden: 1, earlang index: 1, earlang: 1500, BBP: 0, general blocking: 0
Orden: 1, earlang index: 2, earlang: 2000, BBP: 0, general blocking: 0
Orden: 1, earlang index: 3, earlang: 2500, BBP: 0.000327236, general blocking: 0.000108
Orden: 1, earlang index: 4, earlang: 3000, BBP: 0.00431539, general blocking: 0.00142
Orden: 1, earlang index: 5, earlang: 3500, BBP: 0.0198574, general blocking: 0.00660599
Orden: 1, earlang index: 6, earlang: 4000, BBP: 0.0449788, general blocking: 0.014927
Orden: 1, earlang index: 7, earlang: 4500, BBP: 0.0719409, general blocking: 0.024152
Orden: 1, earlang index: 8, earlang: 5000, BBP: 0.0984284, general blocking: 0.033144
Orden: 1, earlang index: 9, earlang: 5500, BBP: 0.125601, general blocking: 0.042901
Orden: 1, earlang index: 10, earlang: 6000, BBP: 0.150015, general blocking: 0.0517829
Orden: 1, earlang index: 11, earlang: 6500, BBP: 0.174296, general blocking: 0.0607599
Orden: 1, earlang index: 12, earlang: 7000, BBP: 0.195967, general blocking: 0.0688659
Orden: 1, earlang index: 13, earlang: 7500, BBP: 0.218579, general blocking: 0.0780269
Orden: 1, earlang index: 14, earlang: 8000, BBP: 0.236823, general blocking: 0.0849619
